Id,Tipo_de_calle,Calle,Altura,Comuna,Altitud,Longitud
2016-0001,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-34.68757022,-58.47533969
2016-0002,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,9,-34.66977709,-58.50877521
2016-0003,AVENIDA,ENTRE RIOS AV.,2034,1,-34.63189362,-58.39040293
2016-0004,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.",8,-34.68092974,-58.46503904
2016-0005,AVENIDA,SAN JUAN AV.,"SAENZ PE?A, LUIS, PRES.",1,-34.6224663,-58.38718297
2016-0008,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,8,-34.68475866,-58.44451316
2016-0009,CALLE,NOGOYA,"GONZALEZ, JOAQUIN V.",11,-34.6082544,-58.50095869
2016-0010,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,9,-34.66977709,-58.50877521
2016-0012,AVENIDA,BELGRANO AV.,"IRIGOYEN, BERNARDO DE",1,-34.61303893,-58.38048577
2016-0013,AVENIDA,ENTRE RIOS AV.,1366,1,-34.62477387,-58.39114932
2016-0015,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",VERA,15,-34.59912758,-58.4376002
2016-0016,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"QUINQUELA MARTIN, BENITO",4,-34.64291993,-58.36882665
2016-0017,AVENIDA,"ACOSTA, MARIANO","JANER, ANA MARIA",8,-34.65970435,-58.44989671
2016-0019,CALLE,"DE LA TORRE, LISANDRO","GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-34.65468721,-58.50990884
2016-0020,CALLE,SUIPACHA,156,1,-34.60653282,-58.37952223
2016-0021,AVENIDA,DIRECTORIO AV.,CURAPALIGUE,7,-34.63063795,-58.45157703
2016-0022,AVENIDA,9 DE JULIO AV.,"ALSINA, ADOLFO",1,-34.61079875,-58.38144696
2016-0025,GRAL PAZ,"PAZ, GRAL. AV.",27 DE FEBRERO AV.,8,-34.70524971,-58.46244952
2016-0026,CALLE,HOLMBERG,VEDIA,12,-34.54738649,-58.49216191
2016-0027,AVENIDA,CURAPALIGUE AV.,"DIAZ, AVELINO",7,-34.63852623,-58.44497874
2016-0028,AVENIDA,VIAMONTE,9 DE JULIO AV.,1,-34.60028648,-58.38199706
2016-0029,AVENIDA,CABILDO AV.,DEHEZA,12,-34.54153077,-58.47378664
2016-0031,GRAL PAZ,"PAZ, GRAL. AV.","ROCA, CNEL. AV.",8,-34.69843756,-58.47064556
2016-0034,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO",4,-34.65076549,-58.40623949
2016-0035,AVENIDA,CORRIENTES AV.,CALLAO AV.,3,-34.60443527,-58.39228965
2016-0036,CALLE,HERRERA,"VALLE, ARISTOBULO DEL",4,-34.63668504,-58.37813396
2016-0037,AVENIDA,LAFUENTE AV.,QUIRNO,7,-34.64358293,-58.46275892
2016-0038,GRAL PAZ,"PAZ, GRAL. AV.",ZUVIRIA,8,-34.67892743,-58.49683458
2016-0039,AVENIDA,"MITRE, BARTOLOME",PUEYRREDON AV.,3,-34.6088396,-58.40603217
2016-0041,AVENIDA,DIRECTORIO AV.,RIVERA INDARTE AV.,7,-34.63350444,-58.4607655
2016-0043,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",MURGUIONDO,8,-34.67494416,-58.47832463
2016-0044,AVENIDA,"MORENO, JOSE MARIA AV.",BALBASTRO,7,-34.63693953,-58.43213235
2016-0045,GRAL PAZ,"PAZ, GRAL. AV.",DEL LIBERTADOR AV.,13,-34.53476874,-58.46743471
2016-0047,CALLE,LIMA,1483,1,-34.62571878,-58.38247061
2016-0048,AVENIDA,CORRIENTES AV.,DORREGO AV.,15,-34.5917024,-58.44759966
2016-0049,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,4,-34.63657525,-58.37714648
2016-0050,AVENIDA,"GORDILLO, TIMOTEO","FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-34.68550712,-58.47305463
2016-0051,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO",4,-34.65076549,-58.40623949
2016-0052,AUTOPISTA,"LUGONES, LEOPOLDO AV.",,13,-34.54834238,-58.4385562
2016-0053,AVENIDA,TRIUNVIRATO AV.,OLAZABAL AV.,12,-34.57558053,-58.4842918
