Id,Fecha,Anio,Mes,Dia,Hora
2016-0001,2016-01-01,2016,1,1,4
2016-0002,2016-01-02,2016,1,2,1
2016-0003,2016-01-03,2016,1,3,7
2016-0004,2016-01-10,2016,1,10,0
2016-0005,2016-01-21,2016,1,21,5
2016-0008,2016-01-24,2016,1,24,18
2016-0009,2016-01-24,2016,1,24,19
2016-0010,2016-01-29,2016,1,29,15
2016-0012,2016-02-08,2016,2,8,1
2016-0013,2016-02-10,2016,2,10,11
2016-0015,2016-02-14,2016,2,14,5
2016-0016,2016-02-14,2016,2,14,22
2016-0017,2016-02-15,2016,2,15,16
2016-0019,2016-02-17,2016,2,17,9
2016-0020,2016-02-17,2016,2,17,16
2016-0021,2016-02-17,2016,2,17,23
2016-0022,2016-02-21,2016,2,21,6
2016-0025,2016-02-28,2016,2,28,4
2016-0026,2016-02-28,2016,2,28,7
2016-0027,2016-02-28,2016,2,28,9
2016-0028,2016-03-02,2016,3,2,10
2016-0029,2016-03-04,2016,3,4,17
2016-0031,2016-03-08,2016,3,8,12
2016-0034,2016-03-12,2016,3,12,12
2016-0035,2016-03-13,2016,3,13,6
2016-0036,2016-03-14,2016,3,14,0
2016-0037,2016-03-19,2016,3,19,11
2016-0038,2016-03-21,2016,3,21,8
2016-0039,2016-03-23,2016,3,23,1
2016-0041,2016-03-29,2016,3,29,11
2016-0043,2016-03-30,2016,3,30,18
2016-0044,2016-03-31,2016,3,31,19
2016-0045,2016-04-11,2016,4,11,10
2016-0047,2016-04-15,2016,4,15,5
2016-0048,2016-04-15,2016,4,15,17
2016-0049,2016-04-17,2016,4,17,0
2016-0050,2016-04-19,2016,4,19,9
2016-0051,2016-04-20,2016,4,20,4
2016-0052,2016-04-20,2016,4,20,20
2016-0053,2016-04-22,2016,4,22,9
2016-0054,2016-04-23,2016,4,23,21
2016-0055,2016-04-25,2016,4,25,20
2016-0056,2016-04-26,2016,4,26,4
2016-0058,2016-05-04,2016,5,4,14
2016-0059,2016-05-08,2016,5,8,16
2016-0064,2016-05-14,2016,5,14,18
2016-0065,2016-05-20,2016,5,20,14
2016-0067,2016-05-21,2016,5,21,17
2016-0068,2016-05-22,2016,5,22,22
2016-0069,2016-05-23,2016,5,23,3
2016-0073,2016-06-11,2016,6,11,15
2016-0074,2016-06-12,2016,6,12,6
2016-0075,2016-06-12,2016,6,12,23
2016-0076,2016-06-13,2016,6,13,16
2016-0077,2016-06-13,2016,6,13,21
2016-0078,2016-06-13,2016,6,13,23
2016-0079,2016-06-16,2016,6,16,17
2016-0080,2016-06-18,2016,6,18,6
2016-0081,2016-06-22,2016,6,22,7
2016-0082,2016-06-27,2016,6,27,18
2016-0083,2016-06-28,2016,6,28,20
2016-0084,2016-06-29,2016,6,29,22
2016-0085,2016-06-29,2016,6,29,22
2016-0086,2016-06-30,2016,6,30,16
2016-0087,2016-07-02,2016,7,3,0
2016-0088,2016-07-11,2016,7,11,15
2016-0089,2016-07-14,2016,7,14,6
2016-0090,2016-07-14,2016,7,14,22
2016-0092,2016-07-15,2016,7,15,11
2016-0093,2016-07-17,2016,7,17,3
2016-0095,2016-07-23,2016,7,23,6
2016-0096,2016-07-25,2016,7,25,7
2016-0097,2016-07-26,2016,7,26,18
2016-0098,2016-07-27,2016,7,27,16
2016-0099,2016-07-29,2016,7,29,16
2016-0100,2016-08-03,2016,8,3,23
2016-0101,2016-08-07,2016,8,7,19
2016-0102,2016-08-10,2016,8,10,23
2016-0104,2016-08-14,2016,8,14,21
2016-0105,2016-08-17,2016,8,17,0
2016-0106,2016-08-19,2016,8,19,21
2016-0107,2016-08-20,2016,8,20,8
2016-0109,2016-08-24,2016,8,24,5
2016-0110,2016-08-24,2016,8,24,20
2016-0111,2016-08-25,2016,8,25,9
2016-0112,2016-08-27,2016,8,27,4
2016-0113,2016-08-27,2016,8,27,16
2016-0114,2016-08-31,2016,8,31,11
2016-0115,2016-09-02,2016,9,2,11
2016-0116,2016-09-02,2016,9,2,20
2016-0117,2016-09-03,2016,9,3,15
2016-0118,2016-09-04,2016,9,4,3
2016-0119,2016-09-04,2016,9,4,6
2016-0122,2016-09-13,2016,9,13,7
2016-0123,2016-09-14,2016,9,14,9
2016-0124,2016-09-16,2016,9,16,15
2016-0125,2016-09-17,2016,9,17,12
2016-0126,2016-09-18,2016,9,18,22
2016-0127,2016-09-24,2016,9,24,10
2016-0128,2016-10-02,2016,10,2,11
2016-0130,2016-10-04,2016,10,4,12
2016-0131,2016-10-09,2016,10,9,19
2016-0132,2016-10-10,2016,10,10,2
2016-0133,2016-10-14,2016,10,14,0
2016-0134,2016-10-23,2016,10,23,5
2016-0135,2016-10-24,2016,10,24,5
2016-0136,2016-10-25,2016,10,25,0
2016-0137,2016-10-25,2016,10,25,0
2016-0138,2016-10-27,2016,10,27,20
2016-0139,2016-10-28,2016,10,28,23
2016-0140,2016-10-31,2016,10,31,2
2016-0142,2016-11-05,2016,11,5,23
2016-0143,2016-11-06,2016,11,6,4
2016-0144,2016-11-07,2016,11,7,12
2016-0145,2016-11-07,2016,11,7,20
2016-0146,2016-11-09,2016,11,9,20
2016-0147,2016-11-16,2016,11,16,21
2016-0148,2016-11-16,2016,11,16,22
2016-0150,2016-11-18,2016,11,18,18
2016-0151,2016-11-18,2016,11,18,20
2016-0152,2016-11-23,2016,11,23,21
2016-0153,2016-11-25,2016,11,25,15
2016-0154,2016-11-26,2016,11,26,14
2016-0155,2016-11-26,2016,11,26,16
2016-0156,2016-11-26,2016,11,26,19
2016-0157,2016-12-03,2016,12,3,6
2016-0159,2016-12-04,2016,12,4,7
2016-0160,2016-12-06,2016,12,6,5
2016-0161,2016-12-06,2016,12,6,7
2016-0162,2016-12-07,2016,12,7,5
2016-0163,2016-12-10,2016,12,10,7
2016-0164,2016-12-11,2016,12,11,6
2016-0165,2016-12-12,2016,12,12,8
2016-0168,2016-12-13,2016,12,13,10
2016-0169,2016-12-15,2016,12,15,15
2016-0170,2016-12-19,2016,12,19,17
2016-0171,2016-12-25,2016,12,25,19
2016-0172,2016-12-26,2016,12,26,8
2016-0173,2016-12-26,2016,12,26,19
2016-0174,2016-12-27,2016,12,27,0
2016-0175,2016-12-27,2016,12,27,8
2016-0176,2016-12-28,2016,12,28,1
2016-0177,2016-12-29,2016,12,29,4
2016-0178,2016-12-30,2016,12,30,16
2017-0001,2017-01-02,2017,1,2,1
2017-0003,2017-01-05,2017,1,5,3
2017-0007,2017-01-11,2017,1,11,17
2017-0008,2017-01-16,2017,1,16,0
2017-0009,2017-01-16,2017,1,16,13
2017-0010,2017-01-16,2017,1,16,16
2017-0011,2017-01-22,2017,1,22,2
2017-0012,2017-01-24,2017,1,24,14
2017-0013,2017-01-27,2017,1,27,7
2017-0014,2017-01-28,2017,1,28,8
2017-0015,2017-02-02,2017,2,2,15
2017-0016,2017-02-03,2017,2,3,5
2017-0017,2017-02-06,2017,2,6,8
2017-0018,2017-02-09,2017,2,9,7
2017-0021,2017-02-18,2017,2,18,5
2017-0024,2017-02-23,2017,2,23,20
2017-0025,2017-02-24,2017,2,24,17
2017-0026,2017-02-26,2017,2,26,5
2017-0027,2017-02-26,2017,2,26,21
2017-0028,2017-02-28,2017,2,28,9
2017-0029,2017-03-07,2017,3,7,2
2017-0030,2017-03-07,2017,3,7,8
2017-0031,2017-03-11,2017,3,11,1
2017-0032,2017-03-12,2017,3,12,5
2017-0033,2017-03-12,2017,3,12,7
2017-0034,2017-03-13,2017,3,13,7
2017-0035,2017-03-23,2017,3,23,5
2017-0036,2017-03-29,2017,3,29,18
2017-0037,2017-03-31,2017,3,31,3
2017-0038,2017-04-01,2017,4,1,19
2017-0040,2017-04-03,2017,4,3,9
2017-0041,2017-04-03,2017,4,3,23
2017-0042,2017-04-10,2017,4,10,9
2017-0045,2017-04-14,2017,4,14,6
2017-0047,2017-04-23,2017,4,23,6
2017-0049,2017-04-27,2017,4,27,18
2017-0050,2017-04-28,2017,4,28,11
2017-0051,2017-05-01,2017,5,1,3
2017-0052,2017-05-05,2017,5,5,3
2017-0053,2017-05-05,2017,5,5,20
2017-0054,2017-05-07,2017,5,7,21
2017-0055,2017-05-09,2017,5,9,8
2017-0058,2017-05-09,2017,5,9,23
2017-0059,2017-05-11,2017,5,11,9
2017-0060,2017-05-13,2017,5,13,7
2017-0061,2017-05-15,2017,5,15,13
2017-0062,2017-05-15,2017,5,15,16
2017-0063,2017-05-17,2017,5,17,10
2017-0064,2017-05-20,2017,5,20,5
2017-0065,2017-05-22,2017,5,22,16
2017-0066,2017-05-22,2017,5,22,18
2017-0067,2017-05-23,2017,5,23,2
2017-0068,2017-05-27,2017,5,27,19
2017-0069,2017-05-24,2017,5,24,14
2017-0070,2017-05-30,2017,5,30,13
2017-0072,2017-06-03,2017,6,3,23
2017-0073,2017-06-04,2017,6,4,9
2017-0074,2017-06-04,2017,6,4,12
2017-0075,2017-06-12,2017,6,12,22
2017-0076,2017-06-13,2017,6,13,14
2017-0077,2017-06-17,2017,6,17,23
2017-0079,2017-06-19,2017,6,19,16
2017-0080,2017-06-22,2017,6,22,10
2017-0082,2017-06-25,2017,6,25,22
2017-0083,2017-07-04,2017,7,4,0
2017-0084,2017-07-05,2017,7,5,12
2017-0085,2017-07-07,2017,7,7,14
2017-0086,2017-07-09,2017,7,9,7
2017-0087,2017-07-10,2017,7,10,10
2017-0088,2017-07-10,2017,7,10,22
2017-0089,2017-07-13,2017,7,13,12
2017-0090,2017-07-15,2017,7,15,5
2017-0091,2017-07-15,2017,7,15,13
2017-0092,2017-07-24,2017,7,24,22
2017-0093,2017-07-25,2017,7,25,16
2017-0094,2017-07-27,2017,7,27,8
2017-0095,2017-08-06,2017,8,6,8
